"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-06-01,2026-06-30,"CA 56 [ SITIMA] [Whatsapp]",inactive,2024-08-29,2026-06-10,Contínuo,1,actions:onsite_conversion.messaging_conversation_started_7d,107.89,10,Diário,107.89,5372,3515,1.528307,71,1.507818,1.331975,20.083768,1
2026-06-01,2026-06-30,"CA 84 [Jairauto - Whatsapp]",inactive,2025-04-23,2026-06-10,Contínuo,7,actions:onsite_conversion.messaging_conversation_started_7d,15.45142857,10,Diário,108.16,4137,3421,1.209296,28,0.749335,3.489032,26.144549,
2026-06-01,2026-06-30,"CA 90 [Schafas - Whatsapp]",inactive,2025-04-24,2026-06-10,Contínuo,5,actions:onsite_conversion.messaging_conversation_started_7d,20.972,10,Diário,104.86,4968,3681,1.349633,77,1.731079,1.219302,21.107085,1
2026-06-01,2026-06-30,"CA 89 [ Autopower - Whatsapp]",inactive,2025-05-05,2026-06-10,Contínuo,11,actions:onsite_conversion.messaging_conversation_started_7d,9.70727273,10,Diário,106.78,3394,2759,1.230156,28,0.854449,3.682069,31.461402,
2026-06-01,2026-06-30,"CA 95 [Atual- Whatsapp]",inactive,2025-05-05,2026-06-10,Contínuo,5,actions:onsite_conversion.messaging_conversation_started_7d,20.884,10,Diário,104.42,4581,3735,1.226506,36,0.851343,2.677436,22.79415,
2026-06-01,2026-06-30,"CA 91 [Via Mais e Way - Whatsapp]",inactive,2025-06-05,2026-06-10,Contínuo,16,actions:onsite_conversion.messaging_conversation_started_7d,12.900625,20,Diário,206.41,7021,3138,2.237412,57,0.925794,3.175538,29.398946,
2026-06-01,2026-06-30,"CA 05/26 [ OZ] [Whatsapp]",inactive,2026-01-21,2026-06-10,Contínuo,5,actions:onsite_conversion.messaging_conversation_started_7d,21.708,10,Diário,108.54,6118,4807,1.272727,51,0.898987,1.973455,17.741092,
2026-06-01,2026-06-30,"CA 06/26 [Cwb - Mensagens]",inactive,2026-01-21,2026-06-10,Contínuo,8,actions:onsite_conversion.messaging_conversation_started_7d,14.4675,10,Diário,115.74,4591,3425,1.340438,38,0.914833,2.755714,25.210194,
2026-06-01,2026-06-30,"CA 09/26 [Massa Motors]",inactive,2026-01-28,2026-06-10,Contínuo,7,actions:onsite_conversion.messaging_conversation_started_7d,14.51428571,10,Diário,101.6,6039,4622,1.306577,64,1.159132,1.451429,16.823977,
2026-06-01,2026-06-30,"CA 11/26 [Tráfego - site] [Institucional - Região]",inactive,2026-02-10,2026-07-06,Contínuo,4891,actions:omni_landing_page_view,0.39117972,"Usando o orçamento do conjunto de anúncios",0,1913.26,435936,195019,2.235351,5932,1.59083,0.275885,4.388855,4891
2026-06-01,2026-06-30,"CA - 26 [Pitbull]",inactive,2026-03-24,2026-06-10,Contínuo,11,actions:onsite_conversion.messaging_conversation_started_7d,9.09636364,10,Diário,100.06,3782,3212,1.17746,29,0.76679,3.450345,26.456901,
2026-06-01,2026-06-30,"CA 01/26 [AUTOTRADE] [WHATSAPP]",inactive,2026-04-15,2026-06-10,Contínuo,16,actions:onsite_conversion.messaging_conversation_started_7d,6.995,10,Diário,111.92,3817,3299,1.157017,41,1.152738,2.543636,29.321457,
2026-06-01,2026-06-30,"CA [Mensagens - Autojans]",inactive,2026-04-20,2026-06-10,Contínuo,815,actions:link_click,0.12373006,10,Diário,100.84,43108,31785,1.356237,756,1.8906,0.12373,2.339241,4
2026-06-01,2026-06-30,"CA [Dgongora - whatsapp]",inactive,2026-04-22,2026-06-10,Contínuo,952,actions:link_click,0.1139916,10,Diário,108.52,42426,29846,1.421497,872,2.243907,0.113992,2.557865,9
2026-06-01,2026-06-30,"CA [Speed - whatsapp]",inactive,2026-04-22,2026-06-10,Contínuo,864,actions:link_click,0.12393519,10,Diário,107.08,44485,30527,1.457235,807,1.942228,0.123935,2.407104,8
2026-06-01,2026-06-30,"CA [Toso - whatsapp]",inactive,2026-04-24,2026-06-10,Contínuo,6,actions:onsite_conversion.messaging_conversation_started_7d,18.02833333,10,Diário,108.17,3645,3282,1.110603,31,0.90535,3.277879,29.676269,
2026-06-01,2026-06-30,"CA - Tráfego ofertas - site",inactive,2026-05-14,2026-07-10,Contínuo,26088,actions:link_click,0.09587205,40,Diário,2501.11,623320,255904,2.435757,18411,4.18533,0.095872,4.012562,12984
2026-06-01,2026-06-30,"CA [Tráfego - Institucional] [ Curitiba] [Redes Sociais]",inactive,2026-05-14,2026-06-12,Contínuo,264,total_profile_visits,0.48155303,50,Diário,127.13,28435,21335,1.332787,218,0.798312,0.560044,4.470899,
2026-06-01,2026-06-30,"Post do Instagram: 🔥 Fim de semana com ofertas!...",inactive,2026-05-29,2026-06-01,2026-06-01,38,actions:visit_instagram_profile,0.52447368,45,Diário,19.93,4004,3613,1.10822,37,0.924076,0.538649,4.977522,7
2026-06-01,2026-06-30,"[GP][TRAFEGO][SELECAO ALV][IG]",inactive,2026-06-02,2026-06-12,Contínuo,5519,total_profile_visits,0.17571299,100,Diário,969.76,90103,74495,1.209517,4889,6.047523,0.17797,10.762794,15
2026-06-01,2026-06-30,"Post do Instagram: 🔥 Fim de semana com ofertas!...",inactive,2026-06-05,2026-06-11,2026-06-08,671,actions:visit_instagram_profile,0.19922504,45,Diário,133.68,20495,15132,1.354414,576,3.254452,0.20042,6.522566,23
2026-06-01,2026-06-30,"Post do Instagram: 🚗 Preços que você não vai...",completed,2026-06-19,2026-06-19,2026-06-22,25,actions:onsite_conversion.messaging_conversation_started_7d,5.8852,50,Diário,147.13,3894,2634,1.47836,51,1.46379,2.581228,37.78377,1
2026-06-01,2026-06-30,"Post do Instagram: As estrelas já estão em campo...",completed,2026-06-23,2026-06-23,2026-06-27,20,actions:onsite_conversion.messaging_conversation_started_7d,5.97,30,Diário,119.4,2238,1414,1.582744,46,2.144772,2.4875,53.351206,2
2026-06-01,2026-06-30,[Tráfego][Site][ofertas][MOF][rmkt][BOF],active,2026-06-29,2026-06-29,Contínuo,110,actions:omni_landing_page_view,0.95627273,"Usando o orçamento do conjunto de anúncios",0,105.19,21097,12312,1.713532,277,1.422003,0.350633,4.986017,110
2026-06-01,2026-06-30,[Reconhecimento][Institucional],active,2026-06-29,2026-06-29,Contínuo,68361,reach,1.46428519,"Usando o orçamento do conjunto de anúncios",0,100.1,79125,68361,1.157458,61,0.078357,1.614516,1.265087,13
2026-06-01,2026-06-30,"CA 78 [GS Motors - Whatsapp]",inactive,2025-04-10,2026-06-10,Contínuo,8,actions:onsite_conversion.messaging_conversation_started_7d,13.595,10,Diário,108.76,3364,2708,1.242245,21,0.624257,5.179048,32.330559,
2026-06-01,2026-06-30,"CA 87 [Provenci e Leon- Whatsapp]",inactive,2025-05-05,2026-06-10,Contínuo,9,actions:onsite_conversion.messaging_conversation_started_7d,22.98222222,20,Diário,206.84,7300,3600,2.027778,77,1.178082,2.405116,28.334247,
2026-06-01,2026-06-30,"CA 08/26 [South] [Mensagens]",inactive,2026-01-22,2026-06-10,Contínuo,9,actions:onsite_conversion.messaging_conversation_started_7d,12.22555556,10,Diário,110.03,6022,4803,1.2538,94,1.660578,1.1003,18.271338,
2026-06-01,2026-06-30,"CA [Tráfego - Institucional] [ Curitiba]",inactive,2026-04-10,2026-07-06,Contínuo,4045,actions:omni_landing_page_view,0.29354265,10,Diário,1187.38,320853,176245,1.820494,4448,1.583903,0.233644,3.700698,4045
2026-06-01,2026-06-30,"CA [City - whatsapp]",inactive,2026-04-22,2026-06-10,Contínuo,16,actions:onsite_conversion.messaging_conversation_started_7d,7.165,10,Diário,114.64,3707,3072,1.206706,34,0.998112,3.098378,30.925277,
2026-06-01,2026-06-30,"CA [Luville - whatsapp]",inactive,2026-04-24,2026-06-10,Contínuo,5,actions:onsite_conversion.messaging_conversation_started_7d,21.568,10,Diário,107.84,3860,3156,1.223067,37,0.984456,2.837895,27.937824,
2026-06-01,2026-06-30,"CA [Tráfego - IG]",active,2026-05-12,2026-07-10,Contínuo,34650,total_profile_visits,0.14388369,40,Diário,4985.57,801163,495232,1.617753,29271,4.321093,0.144013,6.222916,512
2026-06-01,2026-06-30,"CA [Tipave] [WhatsApp - Maio]",inactive,2026-05-15,2026-06-10,Contínuo,1,actions:onsite_conversion.messaging_conversation_started_7d,104.64,10,Diário,104.64,4084,3310,1.233837,48,1.248776,2.051765,25.621939,
2026-06-01,2026-06-30,"[GP][DUPLICATA CA53][Engajamento][GranTorino]",inactive,2026-05-29,2026-06-10,Contínuo,923,actions:link_click,0.10667389,10,Diário,98.46,34353,26124,1.314998,847,2.68681,0.106674,2.866125,10
2026-06-01,2026-06-30,"[GP][TRAFEGO][SELECAO ALV][SITE]",inactive,2026-06-02,2026-06-12,Contínuo,2098,actions:omni_landing_page_view,0.44170639,100,Diário,926.7,185505,135263,1.371439,2703,1.612355,0.309829,4.995553,2098
2026-06-01,2026-06-30,"Post do Instagram: Feirão Jogada Certa vai...",completed,2026-06-17,2026-06-17,2026-06-26,1011,profile_visit_view,0.17738872,20,Diário,179.34,13807,12993,1.062649,971,7.12682,0.182256,12.989064,7
2026-06-01,2026-06-30,[Engajamento][Lojistas][wpp],active,2026-06-29,2026-06-29,Contínuo,28,actions:onsite_conversion.messaging_conversation_started_7d,23.835,"Usando o orçamento do conjunto de anúncios",0,667.38,32791,22958,1.428304,219,0.701412,2.901652,20.352536,2
