Data,Impr.,Cliques
"qua., 1 de jul. de 2026",0,0
"qui., 2 de jul. de 2026",0,0
"sex., 3 de jul. de 2026",125,6
"sáb., 4 de jul. de 2026",276,11
"dom., 5 de jul. de 2026",334,11
"seg., 6 de jul. de 2026",469,16
"ter., 7 de jul. de 2026",292,13
"qua., 8 de jul. de 2026",271,16
"qui., 9 de jul. de 2026",270,6
"sex., 10 de jul. de 2026",350,6
"sáb., 11 de jul. de 2026",749,23
"dom., 12 de jul. de 2026",436,19
"seg., 13 de jul. de 2026",661,16
"ter., 14 de jul. de 2026",395,17
"qua., 15 de jul. de 2026",415,14
"qui., 16 de jul. de 2026",402,14
"sex., 17 de jul. de 2026",421,14
"sáb., 18 de jul. de 2026",577,12
"dom., 19 de jul. de 2026",463,19
"seg., 20 de jul. de 2026",475,11
"ter., 21 de jul. de 2026",106,4
