"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Início,Término,"Data da última edição",Resultados,"Indicador de resultados","Seguidores no Instagram","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Cliques no link únicos"
2026-07-01,2026-07-21,"CJ 01",inactive,2024-04-24,Contínuo,2024-04-30,,,0,,20,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 02 [Alcance]",inactive,2024-04-30,Contínuo,2024-11-11,,,0,,7,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 03 [Tráfego]",inactive,2024-07-15,Contínuo,2024-08-22,,,0,,30,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 04 [Engajamento]",inactive,2024-08-12,Contínuo,2024-08-30,,,0,,12,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 05 [Mensagem] [Wht/IG] - OFF FDS",inactive,2024-08-21,Contínuo,2024-09-20,,,0,,11.26,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 06 [Alcance]",inactive,2024-09-19,Contínuo,2024-10-11,,,0,,17,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 07 [Mensagem] [Wht/IG]",inactive,2024-10-10,Contínuo,2024-11-11,,,0,,20,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 08 [Mensagem]",inactive,2024-11-12,Contínuo,2024-12-12,,,0,,40,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 08 [Mensagem] [Blue Friday]",inactive,2024-11-19,Contínuo,2024-12-02,,,0,,40,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"Alcance [ Sorteio]",inactive,2024-11-20,Contínuo,2024-12-02,,,0,,15,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 09 [Dezembro] [Mensagens]",inactive,2024-12-06,Contínuo,2024-12-12,,,0,,20,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 10 [Mensagem] [Taças]",inactive,2024-12-17,Contínuo,2025-01-11,,,0,,20,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 11 [Mensagem] [Verão]",inactive,2024-12-27,Contínuo,2025-01-21,,,0,,15,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 12 [Mensagem]",inactive,2025-01-17,Contínuo,2025-04-07,,,0,,25,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 13 [Tráfego IG]",inactive,2025-04-10,Contínuo,2025-04-22,,,0,,20,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA 15 [Tráfego] [Instagram]",inactive,2025-06-02,Contínuo,2026-02-26,,,0,,25,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA [Engajamento]",inactive,2025-11-12,Contínuo,2025-11-17,,,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA [Tráfego Campanha]",inactive,2025-11-14,Contínuo,2025-11-26,,,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CA [Tráfego] [IG]",inactive,2026-02-26,Contínuo,2026-07-10,597,total_profile_visits,92,0.14484087,7,Diário,86.47,12373,10279,1.203716,4.275438,0.163459,6.988604,489
2026-07-01,2026-07-21,"CA [Trágeog - MERCADO LIVRE]",inactive,2026-03-03,Contínuo,2026-03-17,,,0,,10,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"Post do Instagram: 💘 SORTEIO DIA DOS NAMORADOS...",inactive,2026-06-02,2026-06-06,2026-06-12,,,0,,6,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"Post do Instagram: Você precisa de nós 👀✨

Na...",inactive,2026-06-02,2026-06-06,2026-06-12,,,0,,6,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"Post do Instagram: Todo mundo tem aquele item...",inactive,2026-07-01,2026-07-08,2026-07-07,251,profile_visit_view,25,0.16115538,7,Diário,40.45,2768,2450,1.129796,8.778902,0.166461,14.613439,234
2026-07-01,2026-07-21,"Post do Instagram: Jogo do Brasil combina com...",inactive,2026-07-01,2026-07-05,2026-07-15,62,profile_visit_view,2,0.38129032,6,Diário,23.64,1097,1059,1.035883,5.834093,0.369375,21.549681,63
2026-07-01,2026-07-21,[Tráfego][IG],active,2026-07-07,Contínuo,2026-07-20,1333,profile_visit_view,314,0.16287322,14,Diário,217.11,26026,18584,1.400452,5.194805,0.160584,8.342043,1258
